tenure,Tenure_Group,MonthlyCharges,SeniorCitizen,InternetService,PaymentMethod,PaperlessBilling,TechSupport,Service_Engagement,Contract,Churn
13,Standard(1-3yr),30.85,0,DSL,Bank transfer (automatic),Yes,No,1,Month-to-month,0
1,New(0-1yr),89.9,0,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
15,Standard(1-3yr),20.55,0,No,Mailed check,No,No internet service,0,One year,0
65,Loyal(3yr+),84.85,0,DSL,Bank transfer (automatic),Yes,Yes,6,Two year,0
12,New(0-1yr),33.15,0,DSL,Credit card (automatic),No,Yes,2,One year,0
72,Loyal(3yr+),92.0,0,DSL,Credit card (automatic),Yes,Yes,6,Two year,0
72,Loyal(3yr+),89.8,0,DSL,Credit card (automatic),No,Yes,6,Two year,0
72,Loyal(3yr+),115.8,0,Fiber optic,Bank transfer (automatic),Yes,Yes,6,Two year,0
52,Loyal(3yr+),85.15,0,DSL,Mailed check,Yes,Yes,5,Two year,0
2,New(0-1yr),24.85,0,No,Mailed check,No,No internet service,0,Month-to-month,0
5,New(0-1yr),64.35,0,DSL,Electronic check,Yes,Yes,3,Month-to-month,0
68,Loyal(3yr+),20.5,0,No,Credit card (automatic),No,No internet service,0,Two year,0
62,Loyal(3yr+),100.15,0,Fiber optic,Electronic check,Yes,No,3,One year,1
72,Loyal(3yr+),86.05,0,DSL,Credit card (automatic),No,Yes,5,Two year,0
1,New(0-1yr),50.8,0,DSL,Electronic check,No,No,1,Month-to-month,1
66,Loyal(3yr+),89.0,0,Fiber optic,Electronic check,No,Yes,3,One year,0
72,Loyal(3yr+),64.8,0,DSL,Credit card (automatic),Yes,Yes,6,Two year,0
26,Standard(1-3yr),19.8,0,No,Credit card (automatic),No,No internet service,0,One year,0
64,Loyal(3yr+),93.4,0,Fiber optic,Bank transfer (automatic),No,No,3,Two year,0
20,Standard(1-3yr),73.65,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
3,New(0-1yr),95.1,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
22,Standard(1-3yr),94.65,0,Fiber optic,Credit card (automatic),Yes,No,2,Month-to-month,1
4,New(0-1yr),80.6,0,Fiber optic,Mailed check,Yes,Yes,2,Month-to-month,1
62,Loyal(3yr+),39.0,0,DSL,Bank transfer (automatic),Yes,Yes,2,Two year,0
5,New(0-1yr),20.5,0,No,Mailed check,Yes,No internet service,0,Month-to-month,0
59,Loyal(3yr+),85.55,0,Fiber optic,Electronic check,No,No,1,One year,1
3,New(0-1yr),26.4,0,No,Mailed check,Yes,No internet service,0,Two year,0
72,Loyal(3yr+),98.2,0,Fiber optic,Bank transfer (automatic),Yes,Yes,4,Two year,0
57,Loyal(3yr+),97.55,0,Fiber optic,Credit card (automatic),Yes,No,4,One year,0
66,Loyal(3yr+),19.95,0,No,Credit card (automatic),No,No internet service,0,Two year,0
60,Loyal(3yr+),50.8,0,DSL,Electronic check,Yes,No,3,Month-to-month,1
45,Loyal(3yr+),99.7,0,Fiber optic,Bank transfer (automatic),No,No,3,Two year,0
3,New(0-1yr),34.8,0,DSL,Credit card (automatic),Yes,No,1,Month-to-month,0
15,Standard(1-3yr),105.1,0,Fiber optic,Electronic check,No,Yes,5,Month-to-month,1
51,Loyal(3yr+),60.15,0,DSL,Bank transfer (automatic),No,Yes,5,One year,0
60,Loyal(3yr+),64.75,0,DSL,Electronic check,No,Yes,3,One year,0
33,Standard(1-3yr),54.65,0,DSL,Bank transfer (automatic),Yes,No,1,Month-to-month,0
10,New(0-1yr),110.1,0,Fiber optic,Electronic check,Yes,Yes,6,Month-to-month,1
26,Standard(1-3yr),19.3,1,No,Credit card (automatic),No,No internet service,0,One year,0
6,New(0-1yr),83.9,0,Fiber optic,Electronic check,No,No,2,Month-to-month,1
67,Loyal(3yr+),111.25,0,Fiber optic,Electronic check,Yes,Yes,5,One year,0
49,Loyal(3yr+),35.8,0,DSL,Credit card (automatic),Yes,Yes,2,One year,0
1,New(0-1yr),20.05,0,No,Mailed check,Yes,No internet service,0,Month-to-month,0
7,New(0-1yr),84.35,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,0
27,Standard(1-3yr),110.5,1,Fiber optic,Bank transfer (automatic),Yes,No,5,One year,0
37,Loyal(3yr+),91.2,0,Fiber optic,Credit card (automatic),No,No,2,One year,0
63,Loyal(3yr+),100.55,0,Fiber optic,Electronic check,Yes,No,4,Month-to-month,1
31,Standard(1-3yr),89.3,0,Fiber optic,Electronic check,No,Yes,3,Month-to-month,0
50,Loyal(3yr+),103.85,0,Fiber optic,Bank transfer (automatic),Yes,No,4,Month-to-month,1
32,Standard(1-3yr),81.1,1,Fiber optic,Credit card (automatic),Yes,No,1,Month-to-month,0
1,New(0-1yr),24.6,0,DSL,Electronic check,No,No,0,Month-to-month,1
63,Loyal(3yr+),81.2,0,Fiber optic,Credit card (automatic),Yes,Yes,1,One year,0
30,Standard(1-3yr),94.3,0,Fiber optic,Credit card (automatic),Yes,No,3,Month-to-month,0
71,Loyal(3yr+),116.1,0,Fiber optic,Bank transfer (automatic),Yes,Yes,6,Two year,0
53,Loyal(3yr+),105.55,0,Fiber optic,Electronic check,No,No,4,Two year,0
12,New(0-1yr),98.9,0,Fiber optic,Bank transfer (automatic),Yes,Yes,4,Month-to-month,1
50,Loyal(3yr+),94.4,0,Fiber optic,Credit card (automatic),Yes,No,3,Month-to-month,0
2,New(0-1yr),19.5,0,No,Mailed check,No,No internet service,0,Month-to-month,0
9,New(0-1yr),98.3,0,Fiber optic,Credit card (automatic),No,No,3,Month-to-month,1
17,Standard(1-3yr),93.85,0,Fiber optic,Electronic check,No,No,3,Month-to-month,1
56,Loyal(3yr+),105.6,0,Fiber optic,Credit card (automatic),Yes,No,5,One year,0
67,Loyal(3yr+),81.35,0,DSL,Credit card (automatic),No,No,5,Two year,0
9,New(0-1yr),100.5,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
4,New(0-1yr),56.4,0,DSL,Electronic check,Yes,No,1,Month-to-month,0
19,Standard(1-3yr),65.35,0,DSL,Bank transfer (automatic),Yes,Yes,3,One year,0
8,New(0-1yr),19.95,0,No,Mailed check,No,No internet service,0,Month-to-month,0
71,Loyal(3yr+),111.25,0,Fiber optic,Electronic check,Yes,Yes,5,Two year,0
10,New(0-1yr),72.85,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
15,Standard(1-3yr),89.0,1,Fiber optic,Credit card (automatic),No,No,2,Month-to-month,0
72,Loyal(3yr+),106.1,0,Fiber optic,Bank transfer (automatic),Yes,No,4,One year,0
12,New(0-1yr),20.05,0,No,Credit card (automatic),No,No internet service,0,One year,0
72,Loyal(3yr+),25.2,0,No,Bank transfer (automatic),Yes,No internet service,0,Two year,0
1,New(0-1yr),73.55,1,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
23,Standard(1-3yr),75.4,1,Fiber optic,Bank transfer (automatic),Yes,No,1,Month-to-month,0
72,Loyal(3yr+),65.55,0,DSL,Bank transfer (automatic),Yes,Yes,6,Two year,0
26,Standard(1-3yr),80.7,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
21,Standard(1-3yr),104.55,0,Fiber optic,Mailed check,Yes,Yes,5,One year,0
60,Loyal(3yr+),24.15,0,No,Bank transfer (automatic),No,No internet service,0,One year,0
12,New(0-1yr),20.45,0,No,Mailed check,No,No internet service,0,Month-to-month,0
16,Standard(1-3yr),75.4,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,0
63,Loyal(3yr+),79.7,0,DSL,Credit card (automatic),Yes,No,4,One year,0
22,Standard(1-3yr),81.7,1,Fiber optic,Electronic check,No,No,2,Month-to-month,0
32,Standard(1-3yr),76.3,0,DSL,Bank transfer (automatic),No,Yes,5,Month-to-month,0
3,New(0-1yr),79.4,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
13,Standard(1-3yr),81.15,0,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
68,Loyal(3yr+),103.75,0,Fiber optic,Credit card (automatic),Yes,Yes,4,Two year,0
30,Standard(1-3yr),86.45,0,Fiber optic,Electronic check,No,No,2,One year,0
16,Standard(1-3yr),75.1,0,Fiber optic,Bank transfer (automatic),No,No,1,Month-to-month,0
33,Standard(1-3yr),80.6,0,Fiber optic,Bank transfer (automatic),No,Yes,2,Two year,0
72,Loyal(3yr+),19.3,0,No,Credit card (automatic),No,No internet service,0,Two year,0
4,New(0-1yr),84.6,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
12,New(0-1yr),33.6,0,DSL,Mailed check,Yes,Yes,2,One year,0
4,New(0-1yr),83.25,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
6,New(0-1yr),79.05,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
65,Loyal(3yr+),108.05,0,Fiber optic,Credit card (automatic),Yes,Yes,5,One year,0
15,Standard(1-3yr),19.9,0,No,Mailed check,No,No internet service,0,Month-to-month,0
24,Standard(1-3yr),21.05,0,No,Bank transfer (automatic),No,No internet service,0,One year,0
13,Standard(1-3yr),30.15,0,DSL,Electronic check,No,No,1,Month-to-month,0
24,Standard(1-3yr),79.85,0,Fiber optic,Credit card (automatic),Yes,No,1,Month-to-month,0
72,Loyal(3yr+),65.5,0,DSL,Bank transfer (automatic),No,Yes,6,Two year,0
54,Loyal(3yr+),104.1,0,Fiber optic,Bank transfer (automatic),Yes,No,4,Month-to-month,0
3,New(0-1yr),74.4,0,Fiber optic,Bank transfer (automatic),No,No,0,Month-to-month,1
4,New(0-1yr),20.5,0,No,Mailed check,Yes,No internet service,0,Month-to-month,0
32,Standard(1-3yr),91.35,1,Fiber optic,Mailed check,Yes,No,2,Month-to-month,0
35,Standard(1-3yr),99.05,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
35,Standard(1-3yr),20.5,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
2,New(0-1yr),44.95,1,DSL,Mailed check,No,No,0,Month-to-month,1
8,New(0-1yr),75.6,0,Fiber optic,Electronic check,No,No,1,Month-to-month,0
22,Standard(1-3yr),55.1,0,DSL,Mailed check,No,Yes,2,Month-to-month,0
15,Standard(1-3yr),58.95,0,DSL,Electronic check,No,Yes,3,Month-to-month,0
22,Standard(1-3yr),95.1,0,Fiber optic,Electronic check,Yes,No,2,Month-to-month,0
1,New(0-1yr),44.7,0,DSL,Credit card (automatic),No,No,0,Month-to-month,1
71,Loyal(3yr+),25.45,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
4,New(0-1yr),56.75,0,DSL,Electronic check,No,No,2,Month-to-month,0
25,Standard(1-3yr),81.75,0,DSL,Bank transfer (automatic),No,Yes,5,Month-to-month,0
32,Standard(1-3yr),86.1,0,Fiber optic,Electronic check,Yes,No,2,Month-to-month,0
7,New(0-1yr),29.8,1,DSL,Bank transfer (automatic),No,No,1,Month-to-month,0
17,Standard(1-3yr),20.5,0,No,Mailed check,Yes,No internet service,0,One year,0
8,New(0-1yr),60.9,1,DSL,Bank transfer (automatic),No,No,2,Month-to-month,0
56,Loyal(3yr+),73.25,1,DSL,Bank transfer (automatic),No,Yes,4,Two year,0
1,New(0-1yr),45.7,0,DSL,Mailed check,Yes,No,0,Month-to-month,1
8,New(0-1yr),100.3,1,Fiber optic,Credit card (automatic),No,Yes,4,Month-to-month,1
7,New(0-1yr),19.25,0,No,Electronic check,No,No internet service,0,Month-to-month,1
3,New(0-1yr),20.85,0,No,Mailed check,No,No internet service,0,Month-to-month,0
71,Loyal(3yr+),77.35,0,DSL,Credit card (automatic),No,Yes,5,Two year,0
2,New(0-1yr),96.0,0,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
1,New(0-1yr),90.55,0,Fiber optic,Electronic check,No,No,2,Month-to-month,1
49,Loyal(3yr+),93.85,0,Fiber optic,Bank transfer (automatic),Yes,No,3,Month-to-month,0
58,Loyal(3yr+),70.1,0,DSL,Bank transfer (automatic),No,Yes,4,Two year,0
44,Loyal(3yr+),30.35,1,DSL,Electronic check,Yes,No,1,Month-to-month,1
59,Loyal(3yr+),75.95,0,DSL,Credit card (automatic),Yes,Yes,4,Two year,0
71,Loyal(3yr+),108.05,0,Fiber optic,Electronic check,Yes,Yes,5,Two year,1
1,New(0-1yr),69.9,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
11,New(0-1yr),75.25,0,Fiber optic,Electronic check,No,No,0,Month-to-month,0
62,Loyal(3yr+),103.75,1,Fiber optic,Electronic check,Yes,No,4,One year,1
35,Standard(1-3yr),54.95,0,DSL,Bank transfer (automatic),Yes,Yes,2,One year,0
20,Standard(1-3yr),19.5,0,No,Bank transfer (automatic),Yes,No internet service,0,Month-to-month,0
40,Loyal(3yr+),19.6,0,No,Mailed check,No,No internet service,0,Two year,0
39,Loyal(3yr+),47.85,0,DSL,Electronic check,Yes,No,1,One year,0
1,New(0-1yr),86.6,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
72,Loyal(3yr+),23.75,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
33,Standard(1-3yr),80.6,1,Fiber optic,Bank transfer (automatic),Yes,No,1,Month-to-month,1
12,New(0-1yr),43.8,0,DSL,Bank transfer (automatic),No,No,0,Month-to-month,0
1,New(0-1yr),19.75,0,No,Bank transfer (automatic),No,No internet service,0,Month-to-month,0
27,Standard(1-3yr),19.15,0,No,Mailed check,No,No internet service,0,Month-to-month,0
34,Standard(1-3yr),19.6,0,No,Credit card (automatic),No,No internet service,0,One year,0
56,Loyal(3yr+),80.3,0,Fiber optic,Bank transfer (automatic),No,No,2,Two year,0
58,Loyal(3yr+),24.35,0,No,Credit card (automatic),No,No internet service,0,Two year,0
22,Standard(1-3yr),25.25,0,No,Credit card (automatic),No,No internet service,0,Two year,0
10,New(0-1yr),26.1,0,No,Credit card (automatic),No,No internet service,0,Two year,0
13,Standard(1-3yr),20.0,0,No,Credit card (automatic),No,No internet service,0,Two year,0
35,Standard(1-3yr),85.3,0,Fiber optic,Credit card (automatic),No,Yes,2,Month-to-month,1
34,Standard(1-3yr),70.0,0,Fiber optic,Credit card (automatic),Yes,No,0,Month-to-month,1
4,New(0-1yr),94.3,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
72,Loyal(3yr+),20.7,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
2,New(0-1yr),70.3,0,DSL,Electronic check,No,Yes,3,Month-to-month,0
7,New(0-1yr),95.35,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
27,Standard(1-3yr),75.5,1,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
4,New(0-1yr),69.55,0,Fiber optic,Mailed check,Yes,No,0,Month-to-month,0
37,Loyal(3yr+),19.85,0,No,Mailed check,No,No internet service,0,Two year,0
21,Standard(1-3yr),20.0,0,No,Mailed check,No,No internet service,0,Month-to-month,0
53,Loyal(3yr+),95.85,1,Fiber optic,Credit card (automatic),Yes,No,2,One year,0
18,Standard(1-3yr),90.1,0,Fiber optic,Electronic check,Yes,Yes,2,Month-to-month,1
2,New(0-1yr),68.95,0,Fiber optic,Electronic check,No,No,0,Month-to-month,1
32,Standard(1-3yr),99.55,0,Fiber optic,Credit card (automatic),Yes,No,3,Month-to-month,1
23,Standard(1-3yr),20.75,1,No,Electronic check,Yes,No internet service,0,One year,0
3,New(0-1yr),50.15,0,DSL,Mailed check,Yes,No,1,Month-to-month,0
71,Loyal(3yr+),58.65,0,DSL,Mailed check,No,Yes,5,Two year,0
9,New(0-1yr),95.9,0,Fiber optic,Bank transfer (automatic),Yes,Yes,3,Month-to-month,0
1,New(0-1yr),49.5,0,DSL,Electronic check,No,No,1,Month-to-month,0
18,Standard(1-3yr),57.45,0,DSL,Electronic check,No,No,2,Month-to-month,1
12,New(0-1yr),53.65,0,DSL,Credit card (automatic),No,No,1,One year,1
71,Loyal(3yr+),80.1,0,DSL,Mailed check,Yes,Yes,5,Two year,0
64,Loyal(3yr+),24.4,0,No,Bank transfer (automatic),Yes,No internet service,0,One year,0
4,New(0-1yr),40.05,0,DSL,Electronic check,Yes,Yes,2,Month-to-month,0
23,Standard(1-3yr),19.5,0,No,Mailed check,Yes,No internet service,0,Month-to-month,0
39,Loyal(3yr+),51.05,0,DSL,Credit card (automatic),No,No,1,Month-to-month,0
28,Standard(1-3yr),54.35,0,DSL,Mailed check,No,Yes,2,One year,0
5,New(0-1yr),84.7,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,0
45,Loyal(3yr+),86.1,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,0
37,Loyal(3yr+),70.35,0,Fiber optic,Mailed check,Yes,No,0,Month-to-month,0
60,Loyal(3yr+),110.0,1,Fiber optic,Bank transfer (automatic),Yes,Yes,6,Two year,0
8,New(0-1yr),100.6,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
47,Loyal(3yr+),94.9,0,Fiber optic,Credit card (automatic),No,No,3,One year,0
26,Standard(1-3yr),83.75,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
3,New(0-1yr),88.3,1,Fiber optic,Mailed check,Yes,Yes,3,Month-to-month,1
50,Loyal(3yr+),69.75,0,Fiber optic,Bank transfer (automatic),Yes,No,0,Month-to-month,0
27,Standard(1-3yr),71.6,0,DSL,Bank transfer (automatic),No,Yes,3,Month-to-month,0
8,New(0-1yr),92.1,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
62,Loyal(3yr+),23.65,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
71,Loyal(3yr+),81.85,0,DSL,Bank transfer (automatic),No,Yes,5,Two year,0
66,Loyal(3yr+),25.1,0,No,Mailed check,No,No internet service,0,Two year,0
68,Loyal(3yr+),114.7,0,Fiber optic,Bank transfer (automatic),Yes,Yes,6,Two year,0
13,Standard(1-3yr),49.15,0,DSL,Electronic check,No,No,3,Month-to-month,0
56,Loyal(3yr+),80.9,0,Fiber optic,Electronic check,Yes,No,1,One year,0
38,Loyal(3yr+),79.45,0,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
14,Standard(1-3yr),90.45,1,Fiber optic,Credit card (automatic),No,No,2,Month-to-month,1
16,Standard(1-3yr),19.3,0,No,Bank transfer (automatic),Yes,No internet service,0,One year,0
14,Standard(1-3yr),70.2,0,Fiber optic,Electronic check,No,No,0,Month-to-month,0
32,Standard(1-3yr),69.75,0,Fiber optic,Bank transfer (automatic),Yes,No,0,Month-to-month,1
8,New(0-1yr),54.25,0,DSL,Bank transfer (automatic),No,Yes,2,One year,0
43,Loyal(3yr+),99.3,0,Fiber optic,Bank transfer (automatic),Yes,No,3,Month-to-month,0
52,Loyal(3yr+),74.0,0,DSL,Credit card (automatic),No,Yes,4,One year,0
3,New(0-1yr),50.25,0,DSL,Mailed check,Yes,Yes,1,Month-to-month,0
29,Standard(1-3yr),19.8,0,No,Mailed check,Yes,No internet service,0,One year,0
1,New(0-1yr),19.65,0,No,Mailed check,No,No internet service,0,Month-to-month,1
12,New(0-1yr),43.65,1,DSL,Electronic check,Yes,Yes,3,Month-to-month,1
16,Standard(1-3yr),35.5,0,DSL,Credit card (automatic),Yes,No,1,Month-to-month,0
40,Loyal(3yr+),80.75,0,DSL,Mailed check,Yes,Yes,4,One year,0
5,New(0-1yr),39.5,0,DSL,Electronic check,No,No,2,Month-to-month,1
40,Loyal(3yr+),97.1,0,Fiber optic,Bank transfer (automatic),Yes,No,2,Month-to-month,1
36,Standard(1-3yr),19.55,0,No,Mailed check,No,No internet service,0,One year,0
5,New(0-1yr),80.0,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
10,New(0-1yr),84.7,0,Fiber optic,Mailed check,Yes,No,2,Month-to-month,1
2,New(0-1yr),89.55,0,Fiber optic,Bank transfer (automatic),Yes,No,2,Month-to-month,1
23,Standard(1-3yr),90.6,0,Fiber optic,Electronic check,Yes,Yes,2,Month-to-month,1
26,Standard(1-3yr),20.05,0,No,Bank transfer (automatic),Yes,No internet service,0,One year,0
72,Loyal(3yr+),112.4,1,Fiber optic,Electronic check,Yes,No,5,Two year,0
34,Standard(1-3yr),50.2,0,DSL,Bank transfer (automatic),No,Yes,1,Month-to-month,0
10,New(0-1yr),62.25,0,DSL,Bank transfer (automatic),No,Yes,3,Month-to-month,0
14,Standard(1-3yr),55.7,0,DSL,Mailed check,No,Yes,2,One year,0
23,Standard(1-3yr),90.05,0,Fiber optic,Bank transfer (automatic),Yes,No,2,Month-to-month,1
47,Loyal(3yr+),19.65,0,No,Mailed check,No,No internet service,0,Two year,0
24,Standard(1-3yr),89.25,0,Fiber optic,Electronic check,Yes,Yes,3,Month-to-month,0
49,Loyal(3yr+),99.05,0,Fiber optic,Bank transfer (automatic),Yes,No,3,Month-to-month,1
20,Standard(1-3yr),54.0,1,DSL,Mailed check,No,Yes,2,One year,0
2,New(0-1yr),69.75,0,Fiber optic,Bank transfer (automatic),No,No,0,Month-to-month,1
2,New(0-1yr),49.05,0,DSL,Credit card (automatic),Yes,No,1,Month-to-month,1
22,Standard(1-3yr),56.75,0,DSL,Bank transfer (automatic),No,Yes,4,Two year,0
7,New(0-1yr),98.05,0,Fiber optic,Bank transfer (automatic),Yes,No,3,Month-to-month,1
1,New(0-1yr),21.1,0,No,Mailed check,No,No internet service,0,Month-to-month,0
59,Loyal(3yr+),96.65,0,Fiber optic,Bank transfer (automatic),Yes,Yes,3,Month-to-month,0
58,Loyal(3yr+),24.5,0,No,Credit card (automatic),Yes,No internet service,0,One year,0
41,Loyal(3yr+),114.5,0,Fiber optic,Bank transfer (automatic),Yes,Yes,6,Month-to-month,1
59,Loyal(3yr+),79.2,1,Fiber optic,Credit card (automatic),Yes,No,1,Two year,0
3,New(0-1yr),69.55,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,0
32,Standard(1-3yr),20.05,0,No,Bank transfer (automatic),Yes,No internet service,0,Two year,0
46,Loyal(3yr+),98.85,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,0
2,New(0-1yr),80.95,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
52,Loyal(3yr+),19.6,0,No,Credit card (automatic),No,No internet service,0,One year,0
13,Standard(1-3yr),74.3,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
11,New(0-1yr),89.7,1,Fiber optic,Bank transfer (automatic),No,No,2,Month-to-month,1
32,Standard(1-3yr),87.65,0,Fiber optic,Bank transfer (automatic),No,Yes,2,Month-to-month,0
17,Standard(1-3yr),100.45,1,Fiber optic,Credit card (automatic),Yes,No,3,Month-to-month,1
16,Standard(1-3yr),74.75,0,Fiber optic,Credit card (automatic),Yes,No,0,Month-to-month,0
51,Loyal(3yr+),107.45,0,Fiber optic,Bank transfer (automatic),No,No,5,One year,0
29,Standard(1-3yr),75.35,0,DSL,Bank transfer (automatic),Yes,Yes,4,One year,0
70,Loyal(3yr+),64.95,0,DSL,Credit card (automatic),No,Yes,4,Two year,0
71,Loyal(3yr+),100.45,0,Fiber optic,Electronic check,No,Yes,4,Two year,0
41,Loyal(3yr+),68.5,0,DSL,Bank transfer (automatic),No,No,3,One year,0
1,New(0-1yr),80.55,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
7,New(0-1yr),81.25,0,DSL,Bank transfer (automatic),No,Yes,5,Month-to-month,0
25,Standard(1-3yr),90.4,0,Fiber optic,Electronic check,Yes,No,2,One year,1
67,Loyal(3yr+),89.55,0,Fiber optic,Electronic check,No,Yes,3,One year,0
5,New(0-1yr),55.7,0,DSL,Mailed check,Yes,Yes,1,Month-to-month,0
15,Standard(1-3yr),24.8,0,No,Electronic check,Yes,No internet service,0,Month-to-month,0
20,Standard(1-3yr),20.0,0,No,Electronic check,No,No internet service,0,Month-to-month,0
3,New(0-1yr),56.15,0,DSL,Mailed check,Yes,No,2,Month-to-month,1
54,Loyal(3yr+),105.2,0,Fiber optic,Electronic check,Yes,Yes,4,One year,0
42,Loyal(3yr+),19.55,0,No,Mailed check,Yes,No internet service,0,One year,0
9,New(0-1yr),79.75,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
63,Loyal(3yr+),97.45,0,Fiber optic,Bank transfer (automatic),No,No,3,Two year,0
69,Loyal(3yr+),24.25,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
69,Loyal(3yr+),24.6,0,No,Credit card (automatic),No,No internet service,0,Two year,0
40,Loyal(3yr+),50.15,0,DSL,Mailed check,Yes,No,1,Month-to-month,0
60,Loyal(3yr+),39.6,0,DSL,Bank transfer (automatic),No,No,3,Two year,0
4,New(0-1yr),94.4,0,Fiber optic,Bank transfer (automatic),Yes,Yes,4,Month-to-month,1
71,Loyal(3yr+),89.85,1,DSL,Mailed check,No,Yes,6,Two year,0
37,Loyal(3yr+),78.95,0,Fiber optic,Credit card (automatic),Yes,No,1,Month-to-month,1
32,Standard(1-3yr),98.85,0,Fiber optic,Credit card (automatic),Yes,No,3,Month-to-month,0
39,Loyal(3yr+),53.85,0,DSL,Credit card (automatic),Yes,Yes,1,Two year,0
38,Loyal(3yr+),24.25,0,No,Electronic check,Yes,No internet service,0,One year,0
52,Loyal(3yr+),89.45,0,Fiber optic,Credit card (automatic),Yes,No,2,Two year,0
48,Loyal(3yr+),105.25,0,Fiber optic,Credit card (automatic),Yes,No,4,Month-to-month,0
70,Loyal(3yr+),59.5,0,DSL,Bank transfer (automatic),No,Yes,5,Two year,0
20,Standard(1-3yr),70.55,0,Fiber optic,Credit card (automatic),No,No,0,Month-to-month,0
50,Loyal(3yr+),82.5,0,DSL,Credit card (automatic),Yes,Yes,5,One year,0
19,Standard(1-3yr),44.85,0,DSL,Credit card (automatic),Yes,No,2,One year,1
25,Standard(1-3yr),61.6,0,DSL,Bank transfer (automatic),Yes,No,3,One year,0
12,New(0-1yr),49.05,0,DSL,Bank transfer (automatic),Yes,No,1,Month-to-month,0
39,Loyal(3yr+),105.65,1,Fiber optic,Electronic check,Yes,No,4,Month-to-month,1
7,New(0-1yr),74.65,0,Fiber optic,Mailed check,No,No,1,Month-to-month,1
23,Standard(1-3yr),66.25,0,DSL,Mailed check,Yes,Yes,4,One year,0
27,Standard(1-3yr),19.4,0,No,Electronic check,Yes,No internet service,0,Month-to-month,0
47,Loyal(3yr+),86.05,1,Fiber optic,Credit card (automatic),Yes,No,1,Month-to-month,0
26,Standard(1-3yr),19.15,0,No,Credit card (automatic),Yes,No internet service,0,Two year,0
14,Standard(1-3yr),64.7,0,DSL,Bank transfer (automatic),Yes,No,2,Month-to-month,1
11,New(0-1yr),104.05,1,Fiber optic,Bank transfer (automatic),Yes,Yes,4,Month-to-month,1
2,New(0-1yr),19.25,0,No,Mailed check,No,No internet service,0,Month-to-month,0
26,Standard(1-3yr),81.95,0,Fiber optic,Electronic check,No,No,2,Month-to-month,0
72,Loyal(3yr+),114.65,1,Fiber optic,Bank transfer (automatic),Yes,Yes,6,Two year,0
63,Loyal(3yr+),20.0,0,No,Credit card (automatic),No,No internet service,0,Two year,0
71,Loyal(3yr+),19.8,0,No,Mailed check,No,No internet service,0,Two year,0
11,New(0-1yr),65.15,0,DSL,Bank transfer (automatic),Yes,No,2,Month-to-month,0
14,Standard(1-3yr),19.65,1,No,Mailed check,No,No internet service,0,One year,0
13,Standard(1-3yr),88.95,0,DSL,Credit card (automatic),No,Yes,6,Two year,0
6,New(0-1yr),20.2,0,No,Mailed check,Yes,No internet service,0,Month-to-month,0
11,New(0-1yr),75.2,1,Fiber optic,Credit card (automatic),Yes,No,0,Month-to-month,0
18,Standard(1-3yr),56.8,0,DSL,Credit card (automatic),No,No,1,Month-to-month,0
1,New(0-1yr),35.55,0,DSL,Electronic check,Yes,No,1,Month-to-month,1
